Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,2.820000,2.830000,2.540000,2.740000,2.703111,31675100
2020-03-16,2.380000,2.540000,2.380000,2.420000,2.387419,27259500
2020-03-17,2.560000,2.620000,2.460000,2.530000,2.495939,29468800
2020-03-18,2.510000,2.620000,2.340000,2.430000,2.397285,42501300
2020-03-19,2.420000,2.620000,2.380000,2.560000,2.525535,40297700
2020-03-20,2.680000,2.800000,2.600000,2.660000,2.624189,49575200
2020-03-23,2.730000,2.800000,2.620000,2.650000,2.614323,46726700
2020-03-24,2.910000,2.990000,2.860000,2.940000,2.900419,47526100
2020-03-25,2.990000,3.150000,2.900000,3.070000,3.028668,48724400
2020-03-26,3.050000,3.190000,3.050000,3.150000,3.107592,35219800
2020-03-27,3.020000,3.080000,2.940000,3.010000,2.969476,31098800
2020-03-30,2.980000,3.060000,2.950000,3.050000,3.008938,20464500
2020-03-31,3.090000,3.200000,3.070000,3.100000,3.058265,29414900
2020-04-01,3.040000,3.070000,2.970000,2.970000,2.930015,22136800
2020-04-02,2.990000,3.080000,2.950000,3.040000,2.999072,23224700
2020-04-03,2.990000,3.020000,2.940000,2.970000,2.930015,17041700
2020-04-06,3.130000,3.190000,3.100000,3.160000,3.117457,23284600
2020-04-07,3.250000,3.280000,3.150000,3.160000,3.117457,27185900
2020-04-08,3.210000,3.280000,3.180000,3.240000,3.196380,18400700
2020-04-09,3.270000,3.340000,3.240000,3.270000,3.225976,20935300
2020-04-13,3.260000,3.270000,3.200000,3.250000,3.206245,11758400
2020-04-14,3.350000,3.430000,3.350000,3.370000,3.324630,27571000
2020-04-15,3.250000,3.260000,3.170000,3.230000,3.186515,23708900
2020-04-16,3.220000,3.680000,3.140000,3.460000,3.413418,83467900
2020-04-17,3.520000,3.560000,3.440000,3.480000,3.433149,34633100
2020-04-20,3.450000,3.520000,3.420000,3.440000,3.393687,16577500
2020-04-21,3.440000,3.450000,3.340000,3.360000,3.314764,22449500
2020-04-22,3.400000,3.430000,3.350000,3.380000,3.334495,18067200
2020-04-23,3.370000,3.450000,3.360000,3.390000,3.344361,23344700
2020-04-24,3.400000,3.410000,3.310000,3.390000,3.344361,16364200
2020-04-27,3.410000,3.460000,3.400000,3.460000,3.413418,12403700
2020-04-28,3.480000,3.490000,3.390000,3.410000,3.364091,26159500
2020-04-29,3.490000,3.550000,3.420000,3.510000,3.462745,22155600
2020-04-30,3.690000,3.700000,3.560000,3.580000,3.531803,55906500
2020-05-01,3.530000,3.630000,3.460000,3.600000,3.551533,32805500
2020-05-04,3.560000,3.590000,3.500000,3.550000,3.502206,23352900
2020-05-05,3.490000,3.540000,3.460000,3.460000,3.413418,20014700
2020-05-06,3.560000,3.570000,3.460000,3.460000,3.413418,19892300
2020-05-07,3.550000,3.580000,3.520000,3.550000,3.502206,14401100
2020-05-08,3.560000,3.590000,3.540000,3.580000,3.531803,17414200
2020-05-11,3.580000,3.590000,3.550000,3.570000,3.521937,14346000
2020-05-12,3.600000,3.630000,3.560000,3.570000,3.521937,16924300
2020-05-13,3.570000,3.580000,3.400000,3.440000,3.393687,27715800
2020-05-14,3.340000,3.420000,3.280000,3.420000,3.373957,24552500
2020-05-15,3.460000,3.490000,3.410000,3.450000,3.403553,15698800
2020-05-18,3.580000,3.690000,3.570000,3.650000,3.600860,25647700
2020-05-19,3.660000,3.740000,3.650000,3.690000,3.640322,21212800
2020-05-20,3.740000,3.830000,3.730000,3.820000,3.768571,22489500
2020-05-21,3.880000,3.890000,3.760000,3.770000,3.719244,20947700
2020-05-22,3.800000,3.860000,3.780000,3.850000,3.798167,18401500
2020-05-26,3.900000,3.920000,3.850000,3.850000,3.798167,17394000
2020-05-27,3.910000,3.930000,3.830000,3.910000,3.857360,25093200
2020-05-28,3.940000,3.980000,3.910000,3.920000,3.867225,22178900
2020-05-29,3.960000,3.980000,3.900000,3.950000,3.896821,21054000
2020-06-01,4.140000,4.220000,4.120000,4.200000,4.143456,39432800
2020-06-02,4.270000,4.340000,4.260000,4.310000,4.251975,36621500
2020-06-03,4.320000,4.400000,4.310000,4.370000,4.311167,32103100
2020-06-04,4.330000,4.380000,4.280000,4.280000,4.222379,38453700
2020-06-05,4.440000,4.500000,4.410000,4.460000,4.399955,33115900
2020-06-08,4.520000,4.540000,4.470000,4.520000,4.459147,38203500
2020-06-09,4.510000,4.510000,4.390000,4.420000,4.360494,35176900
2020-06-10,4.450000,4.510000,4.410000,4.450000,4.390089,34982300
2020-06-11,4.310000,4.320000,4.070000,4.110000,4.054667,49802300
2020-06-12,4.280000,4.310000,4.110000,4.200000,4.143456,38508100
2020-06-15,4.150000,4.290000,4.100000,4.280000,4.222379,39958300
2020-06-16,4.400000,4.430000,4.300000,4.340000,4.281571,36960900
